Filename,Genotype,Sex,RegistrationFile,FullRegistrationPath,Quality,Sections,PixelSize,Step,Lens
"SAGS20-1","fru MARCM","M","SAGS20-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGS20-1_01_warp_m0g80c8e1e-1x26r4.list","3","161",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGS9-1","fru MARCM","M","SAGS9-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGS9-1_01_warp_m0g80c8e1e-1x26r4.list","4","158",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGV12-1","fru MARCM","M","SAGV12-1vh","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGV12-1vh_01_warp_m0g80c8e1e-1x26r4.list","3","176",".447620653079743","1","LCI Plan-Neofluar 25x/0.8 Imm Korr DIC"
"SAGV14-1","fru MARCM","M","SAGV14-1vh","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGV14-1vh_01_warp_m0g80c8e1e-1x26r4.list","4","187",".447620653079743","1","LCI Plan-Neofluar 25x/0.8 Imm Korr DIC"
"SAGV15-1","fru MARCM","M","SAGV15-1vh","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGV15-1vh_01_warp_m0g80c8e1e-1x26r4.list","5","180",".447620653079743","1","LCI Plan-Neofluar 25x/0.8 Imm Korr DIC"
"SAGV19-1","fru MARCM","M","SAGV19-1vh","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGV19-1vh_01_warp_m0g80c8e1e-1x26r4.list","4","176",".447620653079743","1","LCI Plan-Neofluar 25x/0.8 Imm Korr DIC"
"SAGV23-1","fru MARCM","M","SAGV23-1vh","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGV23-1vh_01_warp_m0g80c8e1e-1x26r4.list","3","187",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGV6-1","fru MARCM","M","SAGV6-1vh","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGV6-1vh_01_warp_m0g80c8e1e-1x26r4.list","3","170",".447620653079743","1","LCI Plan-Neofluar 25x/0.8 Imm Korr DIC"
"SAGW19-1","fru MARCM","M","SAGW19-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGW19-1_01_warp_m0g80c8e1e-1x26r4.list","3","161",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGW20-1","fru MARCM","M","SAGW20-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGW20-1_01_warp_m0g80c8e1e-1x26r4.list","3","179",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGW22-1","fru MARCM","M","SAGW22-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGW22-1_01_warp_m0g80c8e1e-1x26r4.list","4","178",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGW3-1","fru MARCM","M","SAGW3-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGW3-1_01_warp_m0g80c8e1e-1x26r4.list","3","113",".461258789424355","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
